FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,COUNTY_NAME,LAT,LONG,ELEVATION
284170,Holly Hill,Populated Place,Volusia,29.2435916,-81.0375555,4
284176,Hollywood,Populated Place,Broward,26.0112014,-80.1494901,3
284183,Hollywood Reservation,Civil,Broward,26.04211,-80.212532,1
284191,Holmes Creek,Stream,Washington,30.4974171,-85.8582672,3
284194,Holopaw,Populated Place,Osceola,28.1358492,-81.0761754,23
284195,Holt,Populated Place,Okaloosa,30.7157457,-86.7457897,61
284212,Homeland,Populated Place,Polk,27.8178061,-81.8245267,41
284214,Homestead,Populated Place,Miami-Dade,25.4687224,-80.4775569,1
284220,Homosassa Bay,Bay,Citrus,28.7419288,-82.7139904,0
284223,Homosassa Springs,Populated Place,Citrus,28.8035939,-82.5759329,2
284231,Honeyville,Populated Place,Gulf,30.0579795,-85.1899158,11
284302,Horseshoe Cove,Bay,Dixie,29.4213465,-83.2320756,0
284329,Hosford,Populated Place,Liberty,30.386585,-84.7979694,38
284369,Hudson,Populated Place,Pasco,28.3644485,-82.6934343,3
